Symbol,Date,Open,High,Low,Close,Volume
$NYAD.N,2005-01-03,182.49000549316406,182.49000549316406,182.49000549316406,182.49000549316406,0.0
$NYAD.N,2005-01-04,175.47000122070312,175.47000122070312,175.47000122070312,175.47000122070312,0.0
$NYAD.N,2005-01-05,169.61000061035156,169.61000061035156,169.61000061035156,169.61000061035156,0.0
$NYAD.N,2005-01-06,171.8000030517578,171.8000030517578,171.8000030517578,171.8000030517578,0.0
$NYAD.N,2005-01-07,169.49000549316406,169.49000549316406,169.49000549316406,169.49000549316406,0.0
$NYAD.N,2005-01-10,173.47000122070312,173.47000122070312,173.47000122070312,173.47000122070312,0.0
$NYAD.N,2005-01-11,169.5,169.5,169.5,169.5,0.0
$NYAD.N,2005-01-12,170.13999938964844,170.13999938964844,170.13999938964844,170.13999938964844,0.0
$NYAD.N,2005-01-13,168.24000549316406,168.24000549316406,168.24000549316406,168.24000549316406,0.0
$NYAD.N,2005-01-14,173.3000030517578,173.3000030517578,173.3000030517578,173.3000030517578,0.0
$NYAD.N,2005-01-18,179.02000427246094,179.02000427246094,179.02000427246094,179.02000427246094,0.0
$NYAD.N,2005-01-19,175.47999572753906,175.47999572753906,175.47999572753906,175.47999572753906,0.0
$NYAD.N,2005-01-20,170.11000061035156,170.11000061035156,170.11000061035156,170.11000061035156,0.0
$NYAD.N,2005-01-21,168.7100067138672,168.7100067138672,168.7100067138672,168.7100067138672,0.0
$NYAD.N,2005-01-24,164.9499969482422,164.9499969482422,164.9499969482422,164.9499969482422,0.0
$NYAD.N,2005-01-25,165.30999755859375,165.30999755859375,165.30999755859375,165.30999755859375,0.0
$NYAD.N,2005-01-26,170.47000122070312,170.47000122070312,170.47000122070312,170.47000122070312,0.0
$NYAD.N,2005-01-27,171.8699951171875,171.8699951171875,171.8699951171875,171.8699951171875,0.0
$NYAD.N,2005-01-28,170.85000610351562,170.85000610351562,170.85000610351562,170.85000610351562,0.0
$NYAD.N,2005-01-31,178.0800018310547,178.0800018310547,178.0800018310547,178.0800018310547,0.0
$NYAD.N,2005-02-01,183.14999389648438,183.14999389648438,183.14999389648438,183.14999389648438,0.0
$NYAD.N,2005-02-02,186.3800048828125,186.3800048828125,186.3800048828125,186.3800048828125,0.0
$NYAD.N,2005-02-03,185.11000061035156,185.11000061035156,185.11000061035156,185.11000061035156,0.0
$NYAD.N,2005-02-04,191.85000610351562,191.85000610351562,191.85000610351562,191.85000610351562,0.0
$NYAD.N,2005-02-07,192.2100067138672,192.2100067138672,192.2100067138672,192.2100067138672,0.0
$NYAD.N,2005-02-08,193.17999267578125,193.17999267578125,193.17999267578125,193.17999267578125,0.0
$NYAD.N,2005-02-09,188.22999572753906,188.22999572753906,188.22999572753906,188.22999572753906,0.0
$NYAD.N,2005-02-10,190.47000122070312,190.47000122070312,190.47000122070312,190.47000122070312,0.0
$NYAD.N,2005-02-11,194.9499969482422,194.9499969482422,194.9499969482422,194.9499969482422,0.0
$NYAD.N,2005-02-14,196.02999877929688,196.02999877929688,196.02999877929688,196.02999877929688,0.0
$NYAD.N,2005-02-15,196.63999938964844,196.63999938964844,196.63999938964844,196.63999938964844,0.0
$NYAD.N,2005-02-16,197.1300048828125,197.1300048828125,197.1300048828125,197.1300048828125,0.0
$NYAD.N,2005-02-17,192.47000122070312,192.47000122070312,192.47000122070312,192.47000122070312,0.0
